net_worth,full_name,age,gender,country_of_citizenship,country_of_residence,city_of_residence,industries,self_made,cpi_country,cpi_change_country,gdp_country,life_expectancy_country
9.6,Marijke Mars,58,Female,United States,United States,Los Angeles,Food & Beverage,FALSE,117.24,7.5,21.4277,78.5
9.6,Pamela Mars,62,Female,United States,United States,Alexandria,Food & Beverage,FALSE,117.24,7.5,21.4277,78.5
9.6,Valerie Mars,64,Female,United States,United States,New York,Food & Beverage,FALSE,117.24,7.5,21.4277,78.5
9.6,Victoria Mars,66,Female,United States,United States,Philadelphia,Food & Beverage,FALSE,117.24,7.5,21.4277,78.5
9.5,Vincent Bolloré & family,71,Male,France,France,Paris,Finance & Investments,FALSE,110.05,1.1,2.715518274,82.5
9.5,Jim Pattison,94,Male,Canada,Canada,Vancouver,Diversified,TRUE,116.76,1.9,1.73642563,81.9
9.4,Ernesto Bertarelli,57,Male,Switzerland,Switzerland,Gstaad,Healthcare,FALSE,99.55,0.4,0.703082435,83.6
9.4,Wang Xing,44,Male,China,China,Beijing,Technology,TRUE,125.08,2.9,19.91,77
9.3,Brian Chesky,41,Male,United States,United States,San Francisco,Technology,TRUE,117.24,7.5,21.4277,78.5
9.3,James Dyson,75,Male,United Kingdom,United Kingdom,Gloucestershire,Manufacturing,TRUE,119.62,1.7,2.827113185,81.3
9.2,Roman Abramovich & family,56,Male,Russia,Russia,Moscow,Diversified,TRUE,180.75,4.5,1.699876579,72.7
9.2,Antonia Ax:son Johnson & family,79,Female,Sweden,Sweden,Stockholm,Diversified,FALSE,110.51,1.8,0.530832909,82.5
9.2,Daniel Kretinsky,47,Male,Czech Republic,Czech Republic,Prague,Energy,TRUE,116.48,2.8,0.246489245,79
9.2,John Malone,82,Male,United States,United States,Elizabeth,Media & Entertainment,TRUE,117.24,7.5,21.4277,78.5
9.2,Azim Premji,77,Male,India,India,Bangalore,Technology,FALSE,180.44,7.7,2.611,69.4
9.2,Charles Schwab,85,Male,United States,United States,Woodside,Finance & Investments,TRUE,117.24,7.5,21.4277,78.5
9.2,Eric Smidt,63,Male,United States,United States,Beverly Hills,Fashion & Retail,TRUE,117.24,7.5,21.4277,78.5
9,David Cheriton,72,Male,Canada,United States,Palo Alto,Technology,TRUE,117.24,7.5,21.4277,78.5
9,Ivan Glasenberg,66,Male,Switzerland,Switzerland,Ruschlikon,Metals & Mining,TRUE,99.55,0.4,0.703082435,83.6
9,Alexander Otto,55,Male,Germany,Germany,Hamburg,Real Estate,FALSE,112.85,1.4,3.845630031,80.9
9,Anthony von Mandl,73,Male,Canada,Canada,Vancouver,Food & Beverage,TRUE,116.76,1.9,1.73642563,81.9
9,Wang Liping & family,57,Male,China,China,Changzhou,Manufacturing,TRUE,125.08,2.9,19.91,77
